Product URL,ACABAMENTO PINTURA,Brilho,COMPONENTE TINTA,CONTEUDO EMBALAGEM,COR COMERCIAL TINTA,COR TINTA,Classe Térmica,Cor,Cura,EMBALAGEM,Escala de cor,FUNCAO TINTA,Família,Função,LINHA PRODUTOS TINTAS,SISTEMA RESINA,SOLIDOS VOLUME,VERSAO TINTA
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-SL-15/p/12802136,,,,,,,,,,Lata Quadrada,,,,,,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-SL-15/p/13946745,,,,,,,,,,Lata Redonda,,,,,,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-SL-15/p/13946902,,,,,,,,,,Lata Retangular,,,,,,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-SL-15/p/13946989,,,,,,,,,,Lata Quadrada,,,,,,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-SL-15/p/13947367,,,,,,,,,,Tambor,,,,,,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-SL-15/p/14801869,,,,,,,,,,Lata Retangular,,,,,,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-SL-20/p/12254402,,,,,,,,,,Lata Redonda,,,,,,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-SL-20/p/12254403,,,,,,,,,,Lata Retangular,,,,,,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-WEG-CLEAN-30/p/12432976,,,,,,,,,,Lata Retangular,,,,,Universal,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-WEG-CLEAN-30/p/12433150,,,,,,,,,,Lata Quadrada,,,,,Universal,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-WEG-CLEAN-30/p/12753858,,,,,,,,,,Lata Redonda,,,,,Universal,,,
